timestamp,message
1732210338847,"INIT_START Runtime Version: python:3.12.v38	Runtime Version ARN: arn:aws:lambda:us-east-1::runtime:7515e00d6763496e7a147ffa395ef5b0f0c1ffd6064130abb5ecde5a6d630e86
"
1732210338956,"START RequestId: 00a05f02-d6d5-4add-9b50-a9c436b9114d Version: $LATEST
"
1732210338956,"receiving event:  {'bucket': 'team-one-s3-cosmic', 'world_size': '1', 'object_type': 'folder', 'S3_object_name': 'scripts/Anomaly Detection', 'data_path': '/tmp/scripts/Anomaly Detection/Inference/resized_inference.pt', 'script': '/tmp/scripts/Anomaly Detection/Inference/inference.py'}
"
1732210338964,"renzdezvous connection successful!
"
1732210338966,"END RequestId: 00a05f02-d6d5-4add-9b50-a9c436b9114d
"
1732210338966,"REPORT RequestId: 00a05f02-d6d5-4add-9b50-a9c436b9114d	Duration: 10.11 ms	Billed Duration: 11 ms	Memory Size: 128 MB	Max Memory Used: 34 MB	Init Duration: 106.37 ms	
"
