@timestamp,@message,@logStream,@log
2024-11-26 16:25:14.565,"END RequestId: fe5cfefb-6e98-4e56-9662-edc18841b3d1
",2024/11/26/[$LATEST]b70e567b847d48a384ba45fb45bbcb60,211125778552:/aws/lambda/cosmic-executor
2024-11-26 16:25:14.565,"REPORT RequestId: fe5cfefb-6e98-4e56-9662-edc18841b3d1	Duration: 12606.91 ms	Billed Duration: 13836 ms	Memory Size: 10240 MB	Max Memory Used: 2865 MB	Init Duration: 1228.99 ms	
",2024/11/26/[$LATEST]b70e567b847d48a384ba45fb45bbcb60,211125778552:/aws/lambda/cosmic-executor
2024-11-26 16:25:14.563,"executed script
",2024/11/26/[$LATEST]b70e567b847d48a384ba45fb45bbcb60,211125778552:/aws/lambda/cosmic-executor
2024-11-26 16:25:13.600,"Traceback (most recent call last):
",2024/11/26/[$LATEST]b70e567b847d48a384ba45fb45bbcb60,211125778552:/aws/lambda/cosmic-executor
2024-11-26 16:25:13.600,"File ""/tmp/Anomaly Detection/Inference/inference_data_parallel.py"", line 286, in <module>
",2024/11/26/[$LATEST]b70e567b847d48a384ba45fb45bbcb60,211125778552:/aws/lambda/cosmic-executor
2024-11-26 16:25:13.600,"engine(args)
",2024/11/26/[$LATEST]b70e567b847d48a384ba45fb45bbcb60,211125778552:/aws/lambda/cosmic-executor
2024-11-26 16:25:13.600,"File ""/tmp/Anomaly Detection/Inference/inference_data_parallel.py"", line 234, in engine
",2024/11/26/[$LATEST]b70e567b847d48a384ba45fb45bbcb60,211125778552:/aws/lambda/cosmic-executor
2024-11-26 16:25:13.600,"inference(
",2024/11/26/[$LATEST]b70e567b847d48a384ba45fb45bbcb60,211125778552:/aws/lambda/cosmic-executor
2024-11-26 16:25:13.600,"File ""/tmp/Anomaly Detection/Inference/inference_data_parallel.py"", line 163, in inference
",2024/11/26/[$LATEST]b70e567b847d48a384ba45fb45bbcb60,211125778552:/aws/lambda/cosmic-executor
2024-11-26 16:25:13.600,"with open('Results.json', 'w') as json_file:
",2024/11/26/[$LATEST]b70e567b847d48a384ba45fb45bbcb60,211125778552:/aws/lambda/cosmic-executor
2024-11-26 16:25:13.600,"OSError: [Errno 30] Read-only file system: 'Results.json'
",2024/11/26/[$LATEST]b70e567b847d48a384ba45fb45bbcb60,211125778552:/aws/lambda/cosmic-executor
2024-11-26 16:25:13.546,"END RequestId: 41ff7714-5c72-4d2d-b590-eeb2e59bd155
",2024/11/26/[$LATEST]a2b5a53d45b740318c41b607b9cf332d,211125778552:/aws/lambda/cosmic-executor
2024-11-26 16:25:13.546,"REPORT RequestId: 41ff7714-5c72-4d2d-b590-eeb2e59bd155	Duration: 11988.23 ms	Billed Duration: 12906 ms	Memory Size: 10240 MB	Max Memory Used: 2837 MB	Init Duration: 917.59 ms	
",2024/11/26/[$LATEST]a2b5a53d45b740318c41b607b9cf332d,211125778552:/aws/lambda/cosmic-executor
2024-11-26 16:25:13.543,"executed script
",2024/11/26/[$LATEST]a2b5a53d45b740318c41b607b9cf332d,211125778552:/aws/lambda/cosmic-executor
2024-11-26 16:25:13.423,"END RequestId: cf9234fb-b0d7-4f2c-959c-1bc359068478
",2024/11/26/[$LATEST]8b8c0cb0af6445308679d029d3ffd750,211125778552:/aws/lambda/cosmic-executor
2024-11-26 16:25:13.423,"REPORT RequestId: cf9234fb-b0d7-4f2c-959c-1bc359068478	Duration: 11855.42 ms	Billed Duration: 12796 ms	Memory Size: 10240 MB	Max Memory Used: 2852 MB	Init Duration: 939.67 ms	
",2024/11/26/[$LATEST]8b8c0cb0af6445308679d029d3ffd750,211125778552:/aws/lambda/cosmic-executor
2024-11-26 16:25:13.421,"executed script
",2024/11/26/[$LATEST]8b8c0cb0af6445308679d029d3ffd750,211125778552:/aws/lambda/cosmic-executor
2024-11-26 16:25:13.295,"END RequestId: 0670e1c6-fa0e-4f7a-a316-59f40e4ab621
",2024/11/26/[$LATEST]36ccde0415e542988804388e07c76956,211125778552:/aws/lambda/cosmic-executor
2024-11-26 16:25:13.295,"REPORT RequestId: 0670e1c6-fa0e-4f7a-a316-59f40e4ab621	Duration: 11571.60 ms	Billed Duration: 12602 ms	Memory Size: 10240 MB	Max Memory Used: 2820 MB	Init Duration: 1029.70 ms	
",2024/11/26/[$LATEST]36ccde0415e542988804388e07c76956,211125778552:/aws/lambda/cosmic-executor
2024-11-26 16:25:13.294,"executed script
",2024/11/26/[$LATEST]36ccde0415e542988804388e07c76956,211125778552:/aws/lambda/cosmic-executor
2024-11-26 16:25:13.210,"END RequestId: eb680fee-a74a-42cc-a65d-21a592230318
",2024/11/26/[$LATEST]8292b50e9e77424fbb1a1c3f4d1a1c4e,211125778552:/aws/lambda/cosmic-executor
2024-11-26 16:25:13.210,"REPORT RequestId: eb680fee-a74a-42cc-a65d-21a592230318	Duration: 11782.33 ms	Billed Duration: 12574 ms	Memory Size: 10240 MB	Max Memory Used: 2850 MB	Init Duration: 791.44 ms	
",2024/11/26/[$LATEST]8292b50e9e77424fbb1a1c3f4d1a1c4e,211125778552:/aws/lambda/cosmic-executor
2024-11-26 16:25:13.209,"executed script
",2024/11/26/[$LATEST]8292b50e9e77424fbb1a1c3f4d1a1c4e,211125778552:/aws/lambda/cosmic-executor
2024-11-26 16:25:12.986,"END RequestId: 489d2dd0-fca5-4531-abc8-66bb29b69972
",2024/11/26/[$LATEST]7026f6d7426c42d98404c36422bbf425,211125778552:/aws/lambda/cosmic-executor
2024-11-26 16:25:12.986,"REPORT RequestId: 489d2dd0-fca5-4531-abc8-66bb29b69972	Duration: 11651.44 ms	Billed Duration: 12395 ms	Memory Size: 10240 MB	Max Memory Used: 2866 MB	Init Duration: 743.29 ms	
",2024/11/26/[$LATEST]7026f6d7426c42d98404c36422bbf425,211125778552:/aws/lambda/cosmic-executor
2024-11-26 16:25:12.985,"executed script
",2024/11/26/[$LATEST]7026f6d7426c42d98404c36422bbf425,211125778552:/aws/lambda/cosmic-executor
2024-11-26 16:25:12.816,"END RequestId: 27f37f76-9d9c-4986-b4d5-a8787452694f
",2024/11/26/[$LATEST]09e8d0cdf7ef4e2bbe16c516fd9dc7ec,211125778552:/aws/lambda/cosmic-executor
2024-11-26 16:25:12.816,"REPORT RequestId: 27f37f76-9d9c-4986-b4d5-a8787452694f	Duration: 11292.46 ms	Billed Duration: 12245 ms	Memory Size: 10240 MB	Max Memory Used: 2812 MB	Init Duration: 952.30 ms	
",2024/11/26/[$LATEST]09e8d0cdf7ef4e2bbe16c516fd9dc7ec,211125778552:/aws/lambda/cosmic-executor
2024-11-26 16:25:12.813,"executed script
",2024/11/26/[$LATEST]09e8d0cdf7ef4e2bbe16c516fd9dc7ec,211125778552:/aws/lambda/cosmic-executor
2024-11-26 16:25:12.537,"with open('Results.json', 'w') as json_file:
",2024/11/26/[$LATEST]a2b5a53d45b740318c41b607b9cf332d,211125778552:/aws/lambda/cosmic-executor
2024-11-26 16:25:12.537,"OSError: [Errno 30] Read-only file system: 'Results.json'
",2024/11/26/[$LATEST]a2b5a53d45b740318c41b607b9cf332d,211125778552:/aws/lambda/cosmic-executor
2024-11-26 16:25:12.536,"Traceback (most recent call last):
",2024/11/26/[$LATEST]a2b5a53d45b740318c41b607b9cf332d,211125778552:/aws/lambda/cosmic-executor
2024-11-26 16:25:12.536,"File ""/tmp/Anomaly Detection/Inference/inference_data_parallel.py"", line 286, in <module>
",2024/11/26/[$LATEST]a2b5a53d45b740318c41b607b9cf332d,211125778552:/aws/lambda/cosmic-executor
2024-11-26 16:25:12.536,"engine(args)
",2024/11/26/[$LATEST]a2b5a53d45b740318c41b607b9cf332d,211125778552:/aws/lambda/cosmic-executor
2024-11-26 16:25:12.536,"File ""/tmp/Anomaly Detection/Inference/inference_data_parallel.py"", line 234, in engine
",2024/11/26/[$LATEST]a2b5a53d45b740318c41b607b9cf332d,211125778552:/aws/lambda/cosmic-executor
2024-11-26 16:25:12.536,"inference(
",2024/11/26/[$LATEST]a2b5a53d45b740318c41b607b9cf332d,211125778552:/aws/lambda/cosmic-executor
2024-11-26 16:25:12.536,"File ""/tmp/Anomaly Detection/Inference/inference_data_parallel.py"", line 163, in inference
",2024/11/26/[$LATEST]a2b5a53d45b740318c41b607b9cf332d,211125778552:/aws/lambda/cosmic-executor
2024-11-26 16:25:12.518,"END RequestId: 07c74476-9ae1-44c1-8dac-ecdcfd85ede7
",2024/11/26/[$LATEST]6b81c1b0e7024fd1a495e42573e61f77,211125778552:/aws/lambda/cosmic-executor
2024-11-26 16:25:12.518,"REPORT RequestId: 07c74476-9ae1-44c1-8dac-ecdcfd85ede7	Duration: 11198.84 ms	Billed Duration: 11956 ms	Memory Size: 10240 MB	Max Memory Used: 2839 MB	Init Duration: 756.54 ms	
",2024/11/26/[$LATEST]6b81c1b0e7024fd1a495e42573e61f77,211125778552:/aws/lambda/cosmic-executor
2024-11-26 16:25:12.516,"executed script
",2024/11/26/[$LATEST]6b81c1b0e7024fd1a495e42573e61f77,211125778552:/aws/lambda/cosmic-executor
2024-11-26 16:25:12.496,"END RequestId: bc51b301-6c63-49fe-b988-72e32d8ffd80
",2024/11/26/[$LATEST]f061137c82494c2a852de8d426ba1a43,211125778552:/aws/lambda/cosmic-executor
2024-11-26 16:25:12.496,"REPORT RequestId: bc51b301-6c63-49fe-b988-72e32d8ffd80	Duration: 10250.95 ms	Billed Duration: 10951 ms	Memory Size: 10240 MB	Max Memory Used: 2826 MB	Init Duration: 699.97 ms	
",2024/11/26/[$LATEST]f061137c82494c2a852de8d426ba1a43,211125778552:/aws/lambda/cosmic-executor
2024-11-26 16:25:12.495,"executed script
",2024/11/26/[$LATEST]f061137c82494c2a852de8d426ba1a43,211125778552:/aws/lambda/cosmic-executor
2024-11-26 16:25:12.422,"with open('Results.json', 'w') as json_file:
",2024/11/26/[$LATEST]8b8c0cb0af6445308679d029d3ffd750,211125778552:/aws/lambda/cosmic-executor
2024-11-26 16:25:12.422,"OSError: [Errno 30] Read-only file system: 'Results.json'
",2024/11/26/[$LATEST]8b8c0cb0af6445308679d029d3ffd750,211125778552:/aws/lambda/cosmic-executor
2024-11-26 16:25:12.421,"Traceback (most recent call last):
",2024/11/26/[$LATEST]8b8c0cb0af6445308679d029d3ffd750,211125778552:/aws/lambda/cosmic-executor
2024-11-26 16:25:12.421,"File ""/tmp/Anomaly Detection/Inference/inference_data_parallel.py"", line 286, in <module>
",2024/11/26/[$LATEST]8b8c0cb0af6445308679d029d3ffd750,211125778552:/aws/lambda/cosmic-executor
2024-11-26 16:25:12.421,"engine(args)
",2024/11/26/[$LATEST]8b8c0cb0af6445308679d029d3ffd750,211125778552:/aws/lambda/cosmic-executor
2024-11-26 16:25:12.421,"File ""/tmp/Anomaly Detection/Inference/inference_data_parallel.py"", line 234, in engine
",2024/11/26/[$LATEST]8b8c0cb0af6445308679d029d3ffd750,211125778552:/aws/lambda/cosmic-executor
2024-11-26 16:25:12.421,"inference(
",2024/11/26/[$LATEST]8b8c0cb0af6445308679d029d3ffd750,211125778552:/aws/lambda/cosmic-executor
2024-11-26 16:25:12.421,"File ""/tmp/Anomaly Detection/Inference/inference_data_parallel.py"", line 163, in inference
",2024/11/26/[$LATEST]8b8c0cb0af6445308679d029d3ffd750,211125778552:/aws/lambda/cosmic-executor
2024-11-26 16:25:12.373,"Traceback (most recent call last):
",2024/11/26/[$LATEST]36ccde0415e542988804388e07c76956,211125778552:/aws/lambda/cosmic-executor
2024-11-26 16:25:12.373,"File ""/tmp/Anomaly Detection/Inference/inference_data_parallel.py"", line 286, in <module>
",2024/11/26/[$LATEST]36ccde0415e542988804388e07c76956,211125778552:/aws/lambda/cosmic-executor
2024-11-26 16:25:12.373,"engine(args)
",2024/11/26/[$LATEST]36ccde0415e542988804388e07c76956,211125778552:/aws/lambda/cosmic-executor
2024-11-26 16:25:12.373,"File ""/tmp/Anomaly Detection/Inference/inference_data_parallel.py"", line 234, in engine
",2024/11/26/[$LATEST]36ccde0415e542988804388e07c76956,211125778552:/aws/lambda/cosmic-executor
2024-11-26 16:25:12.373,"inference(
",2024/11/26/[$LATEST]36ccde0415e542988804388e07c76956,211125778552:/aws/lambda/cosmic-executor
2024-11-26 16:25:12.373,"File ""/tmp/Anomaly Detection/Inference/inference_data_parallel.py"", line 163, in inference
",2024/11/26/[$LATEST]36ccde0415e542988804388e07c76956,211125778552:/aws/lambda/cosmic-executor
2024-11-26 16:25:12.373,"with open('Results.json', 'w') as json_file:
",2024/11/26/[$LATEST]36ccde0415e542988804388e07c76956,211125778552:/aws/lambda/cosmic-executor
2024-11-26 16:25:12.373,"OSError: [Errno 30] Read-only file system: 'Results.json'
",2024/11/26/[$LATEST]36ccde0415e542988804388e07c76956,211125778552:/aws/lambda/cosmic-executor
2024-11-26 16:25:12.114,"Traceback (most recent call last):
",2024/11/26/[$LATEST]8292b50e9e77424fbb1a1c3f4d1a1c4e,211125778552:/aws/lambda/cosmic-executor
