@timestamp,@message,@logStream,@log
2024-11-26 19:04:18.176,"LD_LIBRARY_PATH: /fmi/python/build
",2024/11/26/[$LATEST]22635bb830464988a29263cef79a12cc,211125778552:/aws/lambda/cosmic-executor
2024-11-26 19:03:32.063,"LD_LIBRARY_PATH: /fmi/python/build
",2024/11/26/[$LATEST]36e3438bf38b4b78b99968a7e7694f7c,211125778552:/aws/lambda/cosmic-executor
2024-11-26 19:00:36.061,"END RequestId: e2ab1d72-577a-4240-92b0-804c84bc5071
",2024/11/26/[$LATEST]0f321fbf6bed460eafc908dbaf5fa635,211125778552:/aws/lambda/cosmic-executor
2024-11-26 19:00:36.061,"REPORT RequestId: e2ab1d72-577a-4240-92b0-804c84bc5071	Duration: 22077.12 ms	Billed Duration: 23191 ms	Memory Size: 10240 MB	Max Memory Used: 2777 MB	Init Duration: 1113.76 ms	
",2024/11/26/[$LATEST]0f321fbf6bed460eafc908dbaf5fa635,211125778552:/aws/lambda/cosmic-executor
2024-11-26 19:00:36.059,"executed script
",2024/11/26/[$LATEST]0f321fbf6bed460eafc908dbaf5fa635,211125778552:/aws/lambda/cosmic-executor
2024-11-26 19:00:35.005,"inference(
",2024/11/26/[$LATEST]0f321fbf6bed460eafc908dbaf5fa635,211125778552:/aws/lambda/cosmic-executor
2024-11-26 19:00:35.005,"File ""/tmp/Anomaly Detection/Inference/inference_data_parallel.py"", line 163, in inference
",2024/11/26/[$LATEST]0f321fbf6bed460eafc908dbaf5fa635,211125778552:/aws/lambda/cosmic-executor
2024-11-26 19:00:35.005,"with open('Results.json', 'w') as json_file:
",2024/11/26/[$LATEST]0f321fbf6bed460eafc908dbaf5fa635,211125778552:/aws/lambda/cosmic-executor
2024-11-26 19:00:35.005,"OSError: [Errno 30] Read-only file system: 'Results.json'
",2024/11/26/[$LATEST]0f321fbf6bed460eafc908dbaf5fa635,211125778552:/aws/lambda/cosmic-executor
2024-11-26 19:00:35.004,"Traceback (most recent call last):
",2024/11/26/[$LATEST]0f321fbf6bed460eafc908dbaf5fa635,211125778552:/aws/lambda/cosmic-executor
2024-11-26 19:00:35.004,"File ""/tmp/Anomaly Detection/Inference/inference_data_parallel.py"", line 286, in <module>
",2024/11/26/[$LATEST]0f321fbf6bed460eafc908dbaf5fa635,211125778552:/aws/lambda/cosmic-executor
2024-11-26 19:00:35.004,"engine(args)
",2024/11/26/[$LATEST]0f321fbf6bed460eafc908dbaf5fa635,211125778552:/aws/lambda/cosmic-executor
2024-11-26 19:00:35.004,"File ""/tmp/Anomaly Detection/Inference/inference_data_parallel.py"", line 234, in engine
",2024/11/26/[$LATEST]0f321fbf6bed460eafc908dbaf5fa635,211125778552:/aws/lambda/cosmic-executor
2024-11-26 19:00:34.883,"END RequestId: eb5d2001-7ecd-43f2-9610-2be3cb61f152
",2024/11/26/[$LATEST]bbf7c238a6a94be9b391c9f3a34bee08,211125778552:/aws/lambda/cosmic-executor
2024-11-26 19:00:34.883,"REPORT RequestId: eb5d2001-7ecd-43f2-9610-2be3cb61f152	Duration: 21011.03 ms	Billed Duration: 22003 ms	Memory Size: 10240 MB	Max Memory Used: 2864 MB	Init Duration: 991.14 ms	
",2024/11/26/[$LATEST]bbf7c238a6a94be9b391c9f3a34bee08,211125778552:/aws/lambda/cosmic-executor
2024-11-26 19:00:34.881,"executed script
",2024/11/26/[$LATEST]bbf7c238a6a94be9b391c9f3a34bee08,211125778552:/aws/lambda/cosmic-executor
2024-11-26 19:00:34.601,"END RequestId: 652c1dac-e0c9-4e82-9da2-e53671dac6bf
",2024/11/26/[$LATEST]f9288d9c71e840c780325db3fd82f85a,211125778552:/aws/lambda/cosmic-executor
2024-11-26 19:00:34.601,"REPORT RequestId: 652c1dac-e0c9-4e82-9da2-e53671dac6bf	Duration: 20639.67 ms	Billed Duration: 21704 ms	Memory Size: 10240 MB	Max Memory Used: 2768 MB	Init Duration: 1064.10 ms	
",2024/11/26/[$LATEST]f9288d9c71e840c780325db3fd82f85a,211125778552:/aws/lambda/cosmic-executor
2024-11-26 19:00:34.599,"executed script
",2024/11/26/[$LATEST]f9288d9c71e840c780325db3fd82f85a,211125778552:/aws/lambda/cosmic-executor
2024-11-26 19:00:33.860,"END RequestId: 020e2eb1-3aa9-4925-83d5-22f57647eb15
",2024/11/26/[$LATEST]f08df0e3034347f1868c0b62973b22cf,211125778552:/aws/lambda/cosmic-executor
2024-11-26 19:00:33.860,"REPORT RequestId: 020e2eb1-3aa9-4925-83d5-22f57647eb15	Duration: 20196.31 ms	Billed Duration: 21067 ms	Memory Size: 10240 MB	Max Memory Used: 2843 MB	Init Duration: 870.41 ms	
",2024/11/26/[$LATEST]f08df0e3034347f1868c0b62973b22cf,211125778552:/aws/lambda/cosmic-executor
2024-11-26 19:00:33.857,"executed script
",2024/11/26/[$LATEST]f08df0e3034347f1868c0b62973b22cf,211125778552:/aws/lambda/cosmic-executor
2024-11-26 19:00:33.814,"Traceback (most recent call last):
",2024/11/26/[$LATEST]bbf7c238a6a94be9b391c9f3a34bee08,211125778552:/aws/lambda/cosmic-executor
2024-11-26 19:00:33.814,"File ""/tmp/Anomaly Detection/Inference/inference_data_parallel.py"", line 286, in <module>
",2024/11/26/[$LATEST]bbf7c238a6a94be9b391c9f3a34bee08,211125778552:/aws/lambda/cosmic-executor
2024-11-26 19:00:33.814,"engine(args)
",2024/11/26/[$LATEST]bbf7c238a6a94be9b391c9f3a34bee08,211125778552:/aws/lambda/cosmic-executor
2024-11-26 19:00:33.814,"File ""/tmp/Anomaly Detection/Inference/inference_data_parallel.py"", line 234, in engine
",2024/11/26/[$LATEST]bbf7c238a6a94be9b391c9f3a34bee08,211125778552:/aws/lambda/cosmic-executor
2024-11-26 19:00:33.814,"inference(
",2024/11/26/[$LATEST]bbf7c238a6a94be9b391c9f3a34bee08,211125778552:/aws/lambda/cosmic-executor
2024-11-26 19:00:33.814,"File ""/tmp/Anomaly Detection/Inference/inference_data_parallel.py"", line 163, in inference
",2024/11/26/[$LATEST]bbf7c238a6a94be9b391c9f3a34bee08,211125778552:/aws/lambda/cosmic-executor
2024-11-26 19:00:33.814,"with open('Results.json', 'w') as json_file:
",2024/11/26/[$LATEST]bbf7c238a6a94be9b391c9f3a34bee08,211125778552:/aws/lambda/cosmic-executor
2024-11-26 19:00:33.814,"OSError: [Errno 30] Read-only file system: 'Results.json'
",2024/11/26/[$LATEST]bbf7c238a6a94be9b391c9f3a34bee08,211125778552:/aws/lambda/cosmic-executor
2024-11-26 19:00:33.641,"Traceback (most recent call last):
",2024/11/26/[$LATEST]f9288d9c71e840c780325db3fd82f85a,211125778552:/aws/lambda/cosmic-executor
2024-11-26 19:00:33.641,"File ""/tmp/Anomaly Detection/Inference/inference_data_parallel.py"", line 286, in <module>
",2024/11/26/[$LATEST]f9288d9c71e840c780325db3fd82f85a,211125778552:/aws/lambda/cosmic-executor
2024-11-26 19:00:33.641,"engine(args)
",2024/11/26/[$LATEST]f9288d9c71e840c780325db3fd82f85a,211125778552:/aws/lambda/cosmic-executor
2024-11-26 19:00:33.641,"File ""/tmp/Anomaly Detection/Inference/inference_data_parallel.py"", line 234, in engine
",2024/11/26/[$LATEST]f9288d9c71e840c780325db3fd82f85a,211125778552:/aws/lambda/cosmic-executor
2024-11-26 19:00:33.641,"inference(
",2024/11/26/[$LATEST]f9288d9c71e840c780325db3fd82f85a,211125778552:/aws/lambda/cosmic-executor
2024-11-26 19:00:33.641,"File ""/tmp/Anomaly Detection/Inference/inference_data_parallel.py"", line 163, in inference
",2024/11/26/[$LATEST]f9288d9c71e840c780325db3fd82f85a,211125778552:/aws/lambda/cosmic-executor
2024-11-26 19:00:33.641,"with open('Results.json', 'w') as json_file:
",2024/11/26/[$LATEST]f9288d9c71e840c780325db3fd82f85a,211125778552:/aws/lambda/cosmic-executor
2024-11-26 19:00:33.641,"OSError: [Errno 30] Read-only file system: 'Results.json'
",2024/11/26/[$LATEST]f9288d9c71e840c780325db3fd82f85a,211125778552:/aws/lambda/cosmic-executor
2024-11-26 19:00:32.907,"inference(
",2024/11/26/[$LATEST]f08df0e3034347f1868c0b62973b22cf,211125778552:/aws/lambda/cosmic-executor
2024-11-26 19:00:32.907,"File ""/tmp/Anomaly Detection/Inference/inference_data_parallel.py"", line 163, in inference
",2024/11/26/[$LATEST]f08df0e3034347f1868c0b62973b22cf,211125778552:/aws/lambda/cosmic-executor
2024-11-26 19:00:32.907,"with open('Results.json', 'w') as json_file:
",2024/11/26/[$LATEST]f08df0e3034347f1868c0b62973b22cf,211125778552:/aws/lambda/cosmic-executor
2024-11-26 19:00:32.907,"OSError: [Errno 30] Read-only file system: 'Results.json'
",2024/11/26/[$LATEST]f08df0e3034347f1868c0b62973b22cf,211125778552:/aws/lambda/cosmic-executor
2024-11-26 19:00:32.906,"Traceback (most recent call last):
",2024/11/26/[$LATEST]f08df0e3034347f1868c0b62973b22cf,211125778552:/aws/lambda/cosmic-executor
2024-11-26 19:00:32.906,"File ""/tmp/Anomaly Detection/Inference/inference_data_parallel.py"", line 286, in <module>
",2024/11/26/[$LATEST]f08df0e3034347f1868c0b62973b22cf,211125778552:/aws/lambda/cosmic-executor
2024-11-26 19:00:32.906,"engine(args)
",2024/11/26/[$LATEST]f08df0e3034347f1868c0b62973b22cf,211125778552:/aws/lambda/cosmic-executor
2024-11-26 19:00:32.906,"File ""/tmp/Anomaly Detection/Inference/inference_data_parallel.py"", line 234, in engine
",2024/11/26/[$LATEST]f08df0e3034347f1868c0b62973b22cf,211125778552:/aws/lambda/cosmic-executor
2024-11-26 19:00:31.104,"END RequestId: cac5ec54-7a8a-4b2a-96a8-186e11933947
",2024/11/26/[$LATEST]8273dcb39b644c43a051e5ae5072357c,211125778552:/aws/lambda/cosmic-executor
2024-11-26 19:00:31.104,"REPORT RequestId: cac5ec54-7a8a-4b2a-96a8-186e11933947	Duration: 17601.34 ms	Billed Duration: 18258 ms	Memory Size: 10240 MB	Max Memory Used: 2534 MB	Init Duration: 656.07 ms	
",2024/11/26/[$LATEST]8273dcb39b644c43a051e5ae5072357c,211125778552:/aws/lambda/cosmic-executor
2024-11-26 19:00:31.103,"executed script
",2024/11/26/[$LATEST]8273dcb39b644c43a051e5ae5072357c,211125778552:/aws/lambda/cosmic-executor
2024-11-26 19:00:30.460,"END RequestId: f9435ec3-98f2-45cb-9f39-a5e8bfb4474b
",2024/11/26/[$LATEST]88f2bf00e5324d628f3f409d1d9e6b63,211125778552:/aws/lambda/cosmic-executor
2024-11-26 19:00:30.460,"REPORT RequestId: f9435ec3-98f2-45cb-9f39-a5e8bfb4474b	Duration: 16436.85 ms	Billed Duration: 17630 ms	Memory Size: 10240 MB	Max Memory Used: 2869 MB	Init Duration: 1192.26 ms	
",2024/11/26/[$LATEST]88f2bf00e5324d628f3f409d1d9e6b63,211125778552:/aws/lambda/cosmic-executor
2024-11-26 19:00:30.458,"executed script
",2024/11/26/[$LATEST]88f2bf00e5324d628f3f409d1d9e6b63,211125778552:/aws/lambda/cosmic-executor
2024-11-26 19:00:30.407,"inference(
",2024/11/26/[$LATEST]8273dcb39b644c43a051e5ae5072357c,211125778552:/aws/lambda/cosmic-executor
